uid,sn,test_id,split,P,T,R,ignition_time,true_thrust,is_anomalous,is_valid,maneuver_type,maneuver_type_id,thrust_profile,estimated_delta_v,delta_v_min,delta_v_max,duration_min,duration_max
1,1,1,train,1.9470674693161647,299.96,51.23205868642631,1.26,1.188640522284388,False,1,STATION_KEEPING,4,pulsed,0.7130892221288501,0.01,1.0,1.0,60.0
2,1,2,train,1.9691425620621448,300.01,13.664338053270615,1.23,1.0265000429035618,False,1,STATION_KEEPING,4,pulsed,0.6159205557429952,0.01,1.0,1.0,60.0
3,1,3,train,1.5563392359164738,299.98,23.44555979595355,1.25,0.8739981798555904,False,1,STATION_KEEPING,4,pulsed,0.52436394798616,0.01,1.0,1.0,60.0
4,1,4,train,1.1649667697101007,299.92,19.498330742176933,1.31,0.7357196202564741,False,1,STATION_KEEPING,4,pulsed,0.4413140570146435,0.01,1.0,1.0,60.0
5,1,5,train,1.0825653815034717,299.94,12.640683280620443,1.27,0.5965794256208617,False,1,STATION_KEEPING,4,pulsed,0.35787606584144255,0.01,1.0,1.0,60.0
6,1,6,train,0.9872791174993863,299.95,3.336794682689661,1.27,0.4797109225868088,False,1,STATION_KEEPING,4,pulsed,0.28777858245982657,0.01,1.0,1.0,60.0
7,1,7,train,1.6147463166231686,461.44,3.784171983460457,106.7,1.1122716437982272,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
8,1,8,train,1.5675065345923818,476.8,3.755043456309977,91.32,0.9743158272347904,False,1,STATION_KEEPING,4,pulsed,0.9291075728510961,0.01,1.0,1.0,60.0
9,1,9,train,1.2470491143601126,476.89,3.8818805571705046,91.28,0.8405152808476254,False,1,STATION_KEEPING,4,pulsed,0.8016666645668482,0.01,1.0,1.0,60.0
10,1,10,train,1.0348544106660362,476.84,3.62166328133205,91.31,0.7007292998009913,False,1,STATION_KEEPING,4,pulsed,0.6682715186342093,0.01,1.0,1.0,60.0
11,1,11,train,0.8517807093559009,476.83,3.68286421968612,91.31,0.5754307663811423,False,1,STATION_KEEPING,4,pulsed,0.5487653046670401,0.01,1.0,1.0,60.0
12,1,12,train,0.7202769980677439,476.72,3.890534575329261,91.36,0.4701084224276438,False,1,STATION_KEEPING,4,pulsed,0.4482201742794127,0.01,1.0,1.0,60.0
13,1,13,train,1.7119887674614755,151.81,20.243153532924342,3.7,1.997721703466748,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
14,1,14,train,1.5707844773969937,8.63,1.3899892422486049,2.8000000000000003,1.714229058631791,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
15,1,15,train,2.0624849152990787,205.99,6.189363431755839,1.25,1.1631977175726942,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
16,1,16,train,2.0323145167836065,745.89,17.640722310592036,1.26,1.1507862374748428,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
17,1,17,train,0.0,2215.56,3.105792125669369,3.89,0.4811265958532414,False,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
18,1,18,train,1.9548534208427,1522.98,1.6355747967493726,4.64,1.6606974861838075,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
19,1,19,train,1.6910657326773202,98.85,3.974037780793545,114.81,1.9059389359723475,False,1,COLLISION_AVOIDANCE,5,impulsive,0.3768041276417331,0.1,5.0,5.0,120.0
20,1,20,train,2.3145613172835287,1079.94,6.409566640530386,1.27,1.1227553469070228,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
21,1,21,train,1.8854422835856637,302.48,42.17314717594749,1.42,1.2756650509555096,False,1,PHASE_ADJUSTMENT,2,continuous,0.7717263292260451,0.1,10.0,10.0,300.0
22,1,22,train,1.135122021100857,159.79,9.075808414213896,1.94,1.4765986196309475,True,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
23,1,23,train,1.260089403751286,37.0,1.196528808376329,2.58,1.4126710293692908,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
24,1,24,train,1.6871999834121778,205.96,7.714562868685635,1.26,0.9683898454878171,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
25,1,25,train,1.6383149642226065,745.95,20.32549722047207,1.26,0.956727383313772,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
26,1,26,train,0.0,2343.52,2.2302029329881243,1.2,0.4017562059967327,False,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
27,1,27,train,1.745958178345098,1478.04,36.84252978285644,4.39,1.4844456508702026,True,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
28,1,28,train,1.190014851486176,0.04,,86.67,1.5357745089950303,False,0,ATTITUDE_CONTROL,9,pulsed,0.001,0.001,0.1,0.1,10.0
29,1,29,train,1.6610675086006448,995.98,2.331956530042216,1.24,0.9225926103877368,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
30,1,30,train,1.459223212871967,310.61,4.6198844963766925,1.44,1.1263336040905672,False,1,PHASE_ADJUSTMENT,2,continuous,0.6997009615331422,0.1,10.0,10.0,300.0
31,1,31,train,0.0,0.0,,,0.0,False,0,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
32,1,32,train,0.9743018003615412,43.49,1.5999126069158855,1.47,1.090200154832598,False,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
33,1,33,train,1.3059681520469466,205.94,4.636776725096612,1.27,0.804671619474568,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
34,1,34,train,1.4359084662567658,745.9300000000001,19.486022416468806,1.3,0.7871899360916534,False,1,HOHMANN_TRANSFER,1,impulsive,10.0,10.0,500.0,60.0,3600.0
35,1,35,train,0.0,2295.09,2.3294205529529304,1.19,0.3287134408145734,True,0,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
36,1,36,train,1.3352239174067877,1453.03,6.376054703493447,40.19,1.1593929842517128,False,1,STATION_KEEPING,4,pulsed,1.0,0.01,1.0,1.0,60.0
37,1,37,train,1.06218292771492,0.03,,212.32,1.2750749854783563,False,0,ATTITUDE_CONTROL,9,pulsed,0.001,0.001,0.1,0.1,10.0
38,1,38,train,1.4325071048417162,952.88,4.766838335873419,1.27,0.7654450704095588,False,1,ORBIT_RAISING,6,continuous,5.0,5.0,200.0,30.0,1800.0
39,1,39,train,1.172821756607532,321.16,9.129231245999952,2.49,0.8972289668099864,False,1,PHASE_ADJUSTMENT,2,continuous,0.5763081099613906,0.1,10.0,10.0,300.0
40,1,40,train,1.8663394542866556,299.96,3.4073323531300725,1.25,1.0303326748784607,False,1,STATION_KEEPING,4,pulsed,0.6181171783130861,0.01,1.0,1.0,60.0
41,1,41,train,1.5968866591230746,299.94,3.93806120236408,1.27,0.8939016349015733,False,1,STATION_KEEPING,4,pulsed,0.5362337127447557,0.01,1.0,1.0,60.0
42,1,42,train,1.385382576531376,299.99,13.96317128440104,1.25,0.7616599388021698,False,1,STATION_KEEPING,4,pulsed,0.4569807300825258,0.01,1.0,1.0,60.0
43,1,43,train,1.0355884137952474,299.98,14.719188594658146,1.24,0.6333735475129949,False,1,STATION_KEEPING,4,pulsed,0.37999879356589644,0.01,1.0,1.0,60.0
44,1,44,train,1.0097930630655825,299.94,36.70447106690163,1.28,0.5257750691802745,False,1,STATION_KEEPING,4,pulsed,0.3154019484998631,0.01,1.0,1.0,60.0
45,1,45,train,0.7399044511039216,299.98,5.658021302227075,1.22,0.4115448915755823,False,1,STATION_KEEPING,4,pulsed,0.24691047314968634,0.01,1.0,1.0,60.0
46,1,46,train,1.5332407394191452,475.72,4.006161989336727,92.43,0.983672975214166,False,1,STATION_KEEPING,4,pulsed,0.9359058155377662,0.01,1.0,1.0,60.0
47,1,47,train,1.2956122816585045,476.81,3.7110013980586585,91.32,0.8476844605474546,False,1,STATION_KEEPING,4,pulsed,0.8083688552672637,0.01,1.0,1.0,60.0
48,1,48,train,1.1506213333192208,476.79,3.9056404650774375,91.28,0.7458013644536301,False,1,STATION_KEEPING,4,pulsed,0.7111812651156926,0.01,1.0,1.0,60.0
49,1,49,train,0.9056710205357832,476.76,3.8746120150418553,91.31,0.6110253455007888,False,1,STATION_KEEPING,4,pulsed,0.5826248874419121,0.01,1.0,1.0,60.0
50,1,50,train,0.8125502650657316,476.86,4.140228621382299,91.29,0.5001333213372376,True,1,STATION_KEEPING,4,pulsed,0.4769871512257503,0.01,1.0,1.0,60.0
51,1,51,train,0.7301280640618817,462.46,3.889432085831144,105.63,0.3982545005946034,True,1,STATION_KEEPING,4,pulsed,0.36835355268996056,0.01,1.0,1.0,60.0
52,1,52,train,0.7492520385636893,0.0,,4.8,0.9673072785177922,False,0,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
53,1,53,train,0.8363484735908331,37.04,1.242142983565964,1.56,0.9461208046860432,False,1,PHASE_ADJUSTMENT,2,continuous,0.1,0.1,10.0,10.0,300.0
