uid,sn,test_id,split,P,T,R,ignition_time,true_thrust,is_anomalous,is_valid,maneuver_type,maneuver_type_id,thrust_profile,estimated_delta_v,delta_v_min,delta_v_max,duration_min,duration_max,P_original,T_original,R_original,distance_km,distance_type,pass_type,attenuation_factor,atmospheric_factor,zenith_angle_deg,P_before_noise,R_before_noise,snr_condition,target_snr_db,actual_snr_db,scintillation_factor,cn2
1,1,1,train,1.7189412411743112,299.96,51.42598104902251,1.26,1.188640522284388,False,1,STATION_KEEPING,4,pulsed,0.7130892221288501,0.01,1.0,1.0,60.0,1.9470674693161647,299.96,51.23205868642631,487.7756879504105,near,overhead,0.9591703560006832,0.9128428949429008,0.0,1.8675693977013348,53.15441667166908,moderate,5.0,21.98351313505736,0.8960015893759504,1e-14
1,1,1,train,0.5420360263025795,299.96,44.26228758008988,1.26,1.188640522284388,False,1,STATION_KEEPING,4,pulsed,0.7130892221288501,0.01,1.0,1.0,60.0,1.9470674693161647,299.96,51.23205868642631,878.9472116237455,medium,random,0.2760027249684343,0.8529016343844028,55.32906612066662,0.5373959272286549,46.234281222206505,very_poor,1.0,41.2753221717946,1.0404266851002826,1e-13
1,1,1,train,0.21742077848629138,299.96,50.81484977346941,1.26,1.188640522284388,False,1,STATION_KEEPING,4,pulsed,0.7130892221288501,0.01,1.0,1.0,60.0,1.9470674693161647,299.96,51.23205868642631,1380.5698509951765,far,horizon,0.1024106841736731,0.7807680422711581,68.76652066810983,0.1994005116649707,50.42197073392161,moderate,5.0,20.87929968679287,1.0777791935428949,1e-14
1,1,1,train,0.1409812184941709,299.96,49.00608700667287,1.26,1.188640522284388,False,1,STATION_KEEPING,4,pulsed,0.7130892221288501,0.01,1.0,1.0,60.0,1.9470674693161647,299.96,51.23205868642631,1628.1136326755457,very_far,random,0.0705389434980876,0.7479255467883775,72.11521727063993,0.1373440822050574,49.04689885844885,moderate,5.0,31.540974700741383,1.0368750784082499,1e-14
2,1,2,train,1.233142434882008,300.01,13.61158235133337,1.23,1.0265000429035618,False,1,STATION_KEEPING,4,pulsed,0.6159205557429952,0.01,1.0,1.0,60.0,1.9691425620621448,300.01,13.664338053270615,585.3529977697203,near,horizon,0.6558702808695601,0.8989046714805942,31.330139616235403,1.291502085251904,13.7094513419391,moderate,5.0,26.899648479071068,0.9319070455596059,1e-14
2,1,2,train,0.4930613775443877,300.01,14.021401416080378,1.23,1.0265000429035618,False,1,STATION_KEEPING,4,pulsed,0.6159205557429952,0.01,1.0,1.0,60.0,1.9691425620621448,300.01,13.664338053270615,929.104645308332,medium,horizon,0.2448151860601784,0.8453325813227817,57.44203923323656,0.4820760027102603,13.983748338050322,excellent,15.0,32.84600906310764,1.0168330944577777,1e-15
2,1,2,train,0.20998660808820258,300.01,13.209548444403485,1.23,1.0265000429035618,False,1,STATION_KEEPING,4,pulsed,0.6159205557429952,0.01,1.0,1.0,60.0,1.9691425620621448,300.01,13.664338053270615,1277.2923935079175,far,horizon,0.1218207598220743,0.794990514861789,66.95505748363672,0.2398824431083967,13.009213252714275,poor,3.0,18.08775501623294,0.9091228396287309,5e-14
2,1,2,train,0.05812177762618884,300.01,13.778023292348204,1.23,1.0265000429035618,False,1,STATION_KEEPING,4,pulsed,0.6159205557429952,0.01,1.0,1.0,60.0,1.9691425620621448,300.01,13.664338053270615,2327.6311719925825,very_far,overhead,0.0306326223993139,0.6638538805008045,77.59558032076761,0.0603200005540673,13.630227827003932,moderate,5.0,28.767702195991784,0.9886052542345125,1e-14
3,1,3,train,1.6562454120037102,299.98,24.905108947551213,1.25,0.8739981798555904,False,1,STATION_KEEPING,4,pulsed,0.52436394798616,0.01,1.0,1.0,60.0,1.5563392359164738,299.98,23.44555979595355,470.90519362597365,near,overhead,1.0291272730333056,0.9128428949429008,0.0,1.6016711537734591,24.878718098898904,good,10.0,29.35171010318875,1.0384068066349021,5e-15
3,1,3,train,0.3823832753402383,299.98,22.95753593907789,1.25,0.8739981798555904,False,1,STATION_KEEPING,4,pulsed,0.52436394798616,0.01,1.0,1.0,60.0,1.5563392359164738,299.98,23.44555979595355,957.2484485288792,medium,random,0.2294823921374243,0.8411214375796712,58.51129720750789,0.3571524508354436,22.94344051761376,good,10.0,23.018443154529177,1.061619319820827,5e-15
3,1,3,train,0.21825460706844524,299.98,23.593220359258684,1.25,0.8739981798555904,False,1,STATION_KEEPING,4,pulsed,0.52436394798616,0.01,1.0,1.0,60.0,1.5563392359164738,299.98,23.44555979595355,1233.3605018635171,far,random,0.1316638012625991,0.8011363786867239,66.08402530487396,0.2049135398548919,23.873961829109763,poor,3.0,23.72759923142749,1.1411603386370215,5e-14
3,1,3,train,0.10633950024877778,299.98,24.53037300728437,1.25,0.8739981798555904,False,1,STATION_KEEPING,4,pulsed,0.52436394798616,0.01,1.0,1.0,60.0,1.5563392359164738,299.98,23.44555979595355,1654.2894920675478,very_far,overhead,0.068016185590765,0.7445524315334964,72.40753339408126,0.1058562583122842,23.950601775322248,poor,3.0,46.80917910527894,0.938476322277481,5e-14
4,1,4,train,0.7301250050335124,299.92,19.12177818790557,1.31,0.7357196202564741,False,1,STATION_KEEPING,4,pulsed,0.4413140570146435,0.01,1.0,1.0,60.0,1.1649667697101007,299.92,19.498330742176933,593.501946486842,near,random,0.6370485589044427,0.8975875585522037,32.599487075862335,0.7421404018153834,18.998936834591326,good,10.0,35.81495615286235,0.9763200524379199,5e-15
4,1,4,train,0.44481486818002597,299.92,20.063904734099907,1.31,0.7357196202564741,False,1,STATION_KEEPING,4,pulsed,0.4413140570146435,0.01,1.0,1.0,60.0,1.1649667697101007,299.92,19.498330742176933,748.1838824139475,medium,random,0.3898980324062272,0.8730271128498328,48.065168899074365,0.4542182513286067,20.098859267764546,good,10.0,33.67960406516407,0.9753414136643361,5e-15
4,1,4,train,0.14952630917122609,299.92,18.745758441232894,1.31,0.7357196202564741,False,1,STATION_KEEPING,4,pulsed,0.4413140570146435,0.01,1.0,1.0,60.0,1.1649667697101007,299.92,19.498330742176933,1064.9607526677355,far,random,0.1819083878118894,0.8252393379352209,61.99809818810628,0.211917226932389,18.67924829902705,poor,3.0,10.620897653038275,0.7465892751456866,5e-14
4,1,4,train,0.06596632501980092,299.92,19.976905622206615,1.31,0.7357196202564741,False,1,STATION_KEEPING,4,pulsed,0.4413140570146435,0.01,1.0,1.0,60.0,1.1649667697101007,299.92,19.498330742176933,1726.9093490508842,very_far,overhead,0.0616396872064111,0.735291420992334,73.16990500428824,0.0718081872907938,20.132604409950986,poor,3.0,21.792440272294527,0.9044634039224833,5e-14
5,1,5,train,0.7017763931682229,299.94,11.663264129815744,1.27,0.5965794256208617,False,1,STATION_KEEPING,4,pulsed,0.3578760658414425,0.01,1.0,1.0,60.0,1.0825653815034717,299.94,12.640683280620443,566.5356392115675,near,random,0.7025390570599165,0.901955135122936,28.047630683106117,0.7605444623271578,11.900447920203186,moderate,5.0,22.239663602553954,0.9338074058933349,1e-14
5,1,5,train,0.43869788228498824,299.94,12.269664200506783,1.27,0.5965794256208617,False,1,STATION_KEEPING,4,pulsed,0.3578760658414425,0.01,1.0,1.0,60.0,1.0825653815034717,299.94,12.640683280620443,724.9466565528164,medium,horizon,0.417023983421009,0.8766639060076409,46.39316568241296,0.4514557277082621,12.220058409119703,good,10.0,30.976753962349814,0.9668082422137819,5e-15
