file_name,ignition_time,ignition_confidence,is_maneuver,maneuver_probability,thrust_estimate,maneuver_type,maneuver_type_name,true_ignition_time,true_thrust,true_duration
01269_001_SN13_24bars_ssf,-1.0,0.0,False,0.0,1.152425969831873,0,短脉冲姿态修正,2021-08-22 08:00:01.000,1.1351009155700837,300.0
01270_002_SN13_21bars_ssf,-1.0,0.0,False,0.0,0.9753874913963351,0,短脉冲姿态修正,2021-08-22 10:00:01.000,0.9626949026122789,300.0
01271_003_SN13_18bars_ssf,-1.0,0.0,False,0.0,0.8240089092466283,0,短脉冲姿态修正,2021-08-22 12:00:01.000,0.8228046998644405,300.0
01272_004_SN13_15bars_ssf,-1.0,0.0,False,0.0,0.6778182815421369,0,短脉冲姿态修正,2021-08-22 14:00:01.000,0.6720066273987668,300.0
01273_005_SN13_12bars_ssf,-1.0,0.0,False,0.0,0.5498147449089406,0,短脉冲姿态修正,2021-08-22 16:00:01.000,0.5412749127880062,300.0
01274_006_SN13_9bars_ssf,-1.0,0.0,False,0.0,0.42773748585656046,0,短脉冲姿态修正,2021-08-22 18:00:01.000,0.42578547507967873,300.0
01275_007_SN13_24bars_health_check,1.16,1.0,True,1.0,0.7034243885031816,2,多脉冲调整,2021-08-22 20:00:01.000,0.6325194030446406,91.35000000000001
01276_008_SN13_21bars_health_check,1.16,1.0,True,1.0,0.5494524112920653,2,多脉冲调整,2021-08-23 06:00:01.000,0.5474110908927676,91.35000000000001
01277_009_SN13_18bars_health_check,1.16,1.0,True,1.0,0.46408402288240636,2,多脉冲调整,2021-08-23 08:00:01.000,0.4541394641169231,91.35000000000001
01278_010_SN13_15bars_health_check,1.16,1.0,True,1.0,0.3807357366070502,2,多脉冲调整,2021-08-23 10:00:01.000,0.38435910192899675,91.35000000000001
01279_011_SN13_12bars_health_check,1.16,1.0,True,1.0,0.30316293934637895,2,多脉冲调整,2021-08-23 12:00:01.000,0.30832610626969703,91.35000000000001
01280_012_SN13_9bars_health_check,1.16,1.0,True,1.0,0.24122818246123148,2,多脉冲调整,2021-08-23 14:00:01.000,0.23868426819590047,91.35000000000001
01281_013_SN13_24bars_ramp1,-1.0,0.0,False,0.0,0.6167278911959805,0,短脉冲姿态修正,2021-08-23 16:00:01.000,0.594988234080817,91.0
01282_014_SN13_24bars_ramp2,-1.0,0.0,False,0.0,0.6114343024535094,0,短脉冲姿态修正,2021-08-23 18:00:01.000,0.6348936315292741,19.0
01283_015_SN13_24bars_ramp3,-1.0,0.0,False,0.0,0.8628011286519187,0,短脉冲姿态修正,2021-08-23 20:00:01.000,0.9764157913600857,110.0
01284_016_SN13_24bars_ramp4,-1.0,0.0,False,0.0,0.9575417493108033,0,短脉冲姿态修正,2021-08-24 06:00:01.000,0.9519183191719489,407.0
01285_017_SN13_24bars_onmod,3.86,1.0,True,1.0,0.007341629776893605,2,多脉冲调整,2021-08-24 08:00:01.000,0.005219615700646619,78.5
01286_018_SN13_24bars_offmod,-1.0,0.0,False,0.0,0.7118121391824859,0,短脉冲姿态修正,2021-08-24 10:00:01.000,0.7124018275987168,760.0
01287_019_SN13_24bars_random_short,-1.0,0.0,False,0.0,0.5089747729392946,0,短脉冲姿态修正,2021-08-24 12:00:01.000,0.5055299241166866,144.65
01288_020_SN13_24bars_random_long,-1.0,0.0,False,0.0,0.7687773491655193,0,短脉冲姿态修正,2021-08-24 14:00:01.000,0.8629669808783786,618.0
01289_021_SN13_24bars_random_mixed,-1.0,0.0,False,0.0,0.5854033281890838,0,短脉冲姿态修正,2021-08-24 16:00:01.000,0.7320867062578116,139.97
01290_022_SN13_21bars_ramp1,-1.0,0.0,False,0.0,0.443473228419432,0,短脉冲姿态修正,2021-08-24 18:00:01.000,0.4423600704176571,91.0
01291_023_SN13_21bars_ramp2,-1.0,0.0,False,0.0,0.4407871384640445,0,短脉冲姿态修正,2021-08-24 20:00:01.000,0.463704314620094,19.0
01292_024_SN13_21bars_ramp3,-1.0,0.0,False,0.0,0.6940368842718135,0,短脉冲姿态修正,2021-08-25 06:00:01.000,0.7231890574731888,110.0
01293_025_SN13_21bars_ramp4,-1.0,0.0,False,0.0,0.7234464203909177,0,短脉冲姿态修正,2021-08-25 08:00:01.000,0.7107159017822954,407.0
01294_026_SN13_21bars_onmod,1.19,1.0,True,1.0,0.001401293990898272,2,多脉冲调整,2021-08-25 10:00:01.000,0.00425783824948622,80.37
01295_027_SN13_21bars_offmod,-1.0,0.0,False,0.0,0.54068172715862,0,短脉冲姿态修正,2021-08-25 12:00:01.000,0.5314644747555232,760.0
01296_028_SN13_21bars_random_short,-1.0,0.0,False,0.0,0.4607545939729512,0,短脉冲姿态修正,2021-08-25 14:00:01.000,0.3921270022085969,146.66
01297_029_SN13_21bars_random_long,-1.0,0.0,False,0.0,0.578441750288341,0,短脉冲姿态修正,2021-08-25 16:00:01.000,0.6497268469919525,479.0
01298_030_SN13_21bars_random_mixed,-1.0,0.0,False,0.0,0.5980736517309266,0,短脉冲姿态修正,2021-08-25 18:00:01.000,0.5822396451428038,177.32
01299_031_SN13_18bars_ramp1,-1.0,0.0,False,0.0,0.34319701430979477,0,短脉冲姿态修正,2021-08-25 20:00:01.000,0.327454075270121,91.0
01300_032_SN13_18bars_ramp2,-1.0,0.0,False,0.0,0.35034017340908313,0,短脉冲姿态修正,2021-08-26 06:00:01.000,0.3222997454821278,19.0
01301_033_SN13_18bars_ramp3,-1.0,0.0,False,0.0,0.46315475969142383,0,短脉冲姿态修正,2021-08-26 08:00:01.000,0.5417922723225294,110.0
01302_034_SN13_18bars_ramp4,-1.0,0.0,False,0.0,0.5523011078328619,0,短脉冲姿态修正,2021-08-26 10:00:01.000,0.5363091388108863,407.0
01303_035_SN13_18bars_onmod,1.19,1.0,True,1.0,0.0014811769989693246,2,多脉冲调整,2021-08-26 12:00:01.000,0.0028904255145251684,78.7
01304_036_SN13_18bars_offmod,-1.0,0.0,False,0.0,0.4329788837799052,0,短脉冲姿态修正,2021-08-26 14:00:01.000,0.40411773660433764,760.0
01305_037_SN13_18bars_random_short,-1.0,0.0,False,0.0,0.3222841960230029,0,短脉冲姿态修正,2021-08-26 16:00:01.000,0.29952240329606655,144.62
